rawData	tokens	sentiment	Category
BBC: How suicide became the hidden toll of the war in Ukraine	bbc suicide became hidden toll war ukraine	-0.8555	Negative
BBCBreakfast: The US has placed more than 8
BC place this morning. Great to see Vancouver lit up in support of Ukraine. Together 🇬🇧 and 🇨🇦 #StandWithUkraine 🇺🇦 https://t.co/Fca4CZXY77	bc place morning great see vancouver lit support ukraine together standwithukraine	0.7783	Positive
BELARUS IN ACTION	belarus action	0.0	Neutral
BEN OFFICIAL: PUTIN IS PUTTING TROOPS INTO EASTERN UKRAINE. #BREAKING	ben official putin putting troop eastern ukraine breaking	0.0	Neutral
BERLIN
BIDEN BORN LIAR AND HIS LAST DAY STILL GOING LIAR
BIDEN IS A WENNIE AND A FAILURE:	biden wennie failure	-0.5106	Negative
BIDEN IS THE WORST COMMANDER AND CHIEF AMERICA HAS EVER HAD..	biden worst commander chief america ever	-0.6249	Negative
BIDEN SANCTIONS:	biden sanction	0.0	Neutral
BIDEN STANDS TOE-TO-TOE WITH AGGRESSOR PUTIN	biden stand toetotoe aggressor putin	-0.2023	Neutral
BIDEN WARNS AMERICANS IN UKRAINE TO LEAVE
BIDEN: THE US WILL NOT SEND TROOPS TO UKRAINE TO FIGHT.	biden u send troop ukraine fight	-0.3818	Neutral
BINGE WATCHING: on Paramount +	binge watching paramount	0.0	Neutral
BLINKEN: RUSSIA COULD DOUBLE TROOPS ON UKRAINE BORDER QUICKLY	blinken russia double troop ukraine border quickly	0.0	Neutral
BOE GOV. BAILEY: A WAR IN UKRAINE MIGHT RAISE GAS COSTS.	boe gov bailey war ukraine raise gas cost	-0.5994	Negative
"\"BOMBS\"\"	bomb	0.0	Neutral"
BREAKING	breaking	0.0	Neutral
BREAKING	breaking	0.0	Neutral
BREAKING #Putin “if #Ukraine joins #NATO and tries to take #Crimea by military means
BREAKING - The 160 Florida National Guard troops are being pulled out of Ukraine	breaking florida national guard troop pulled ukraine	0.0	Neutral
BREAKING - Trudeau takes hardline approach against Russia
BREAKING - the US says it plans to deploy 3
BREAKING AND PESSIMISTIC NEWS: Russia claims that Russian troops confiscated the eastern city kherson of Ukraine.  However
BREAKING NEWS (from 2014) Russia to invade Ukraine!!! Are you afraid yet?	breaking news russia invade ukraine afraid yet	0.0	Neutral
BREAKING NEWS!	breaking news	0.0	Neutral
BREAKING NEWS:	breaking news	0.0	Neutral
BREAKING NEWS:	breaking news	0.0	Neutral
BREAKING NEWS: Prospects dim as U.S.
BREAKING NEWS: Ready to stay and fight
BREAKING NEWS: Republicans who feel left out by all the Putin/Russia news decide to invade Canada. 45th Nervous Breakdown.	breaking news republican feel left putinrussia news decide invade canada th nervous breakdown	-0.2732	Neutral
BREAKING NEWS: Russia-led bloc starts pulling troops out of Kazakhstan https://t.co/S3tGFkmuo9 #CSTO #Kazakhstan #peacekeeping #RussianTroops	breaking news russialed bloc start pulling troop kazakhstan csto kazakhstan peacekeeping russiantroops	0.4588	Neutral
BREAKING NEWS: Satellite images continue to show an increase of Russian troops at the border. Experts say #Putin has amassed 190
BREAKING NEWS: Sec. Anthony Blinken in a statement urged Russia to not invade Ukraine and to solve this diplomatically. Meanwhile
BREAKING NEWS: Warning time for a Russian attack is going down – NATO https://t.co/kReAhoMeSH #nato #RussianAttack #Ukraine	breaking news warning time attack going nato nato russianattack ukraine	-0.6705	Negative
BREAKING NEWS: despite Russian military pull back
BREAKING NEWS: यूक्रेन को गठबंधन में शामिल करना चाहता है नाटो : रूस के विदेश मंत्री https://t.co/TtwHftsJi7 #alliance #ForeignMinister #Joining #nato #Russia #Ukraine #गठबंधन	breaking news alliance foreignminister joining nato russia ukraine	0.0	Neutral
BREAKING NEWS🔴🔴🔴🔴	breaking news	0.0	Neutral
BREAKING POLL: Vast Majority of Americans Oppose US Military Action in Ukraine
BREAKING 🚨🚨🚨	breaking	0.0	Neutral
BREAKING! MILLIONS STOCKPILING ON FOOD IN UKRAINE https://t.co/L0Pv6b0k1L via @YouTube #Ukraine #NATO #US #Russia #War #Biden #Putin #Invasion	breaking million stockpiling food ukraine via ukraine nato u russia war biden putin invasion	-0.5994	Negative
BREAKING! Powerful Explosion Hits Another City In Eastern Ukraine / 250
BREAKING..Governor of Mykolaiv ... Ukrainian forces expel the Russian army from the city (Praise be to God)	breakinggovernor mykolaiv ukrainian force expel army city praise god	0.4215	Neutral
BREAKING:	breaking	0.0	Neutral
BREAKING:	breaking	0.0	Neutral
BREAKING:	breaking	0.0	Neutral
BREAKING: #EU widens sanctions against #Russia for undermining territorial integrity of #Ukraine.	breaking eu widens sanction russia undermining territorial integrity ukraine	0.0258	Neutral
BREAKING: #US President Joe Biden says he is convinced that #Russia's Putin has made the decision to invade #Ukraine. Biden adds that Secretary of State Antony Blinken will meet with Lavrov on Feb. 24.	breaking u president joe biden say convinced russia putin made decision invade ukraine biden add secretary state antony blinken meet lavrov feb	0.4019	Neutral
BREAKING: 80% OF RUSSIAN FORCES NEAR UKRAINE BORDER ARE IN 'FORWARD POSITIONS' AND 'READY TO GO'
BREAKING: 80% of Russian forces near Ukraine border are in 'forward positions' and 'ready to go'
BREAKING: @UN General Assembly overwhelmingly calls on #Russia to immediately stop aggression against Ukraine
BREAKING: Andrei Kirilenko has been killed in the Ukraine border conflict. He was 40.	breaking andrei kirilenko killed ukraine border conflict	-0.7783	Negative
BREAKING: As Russia and NATO fail to resolve differences in Ukraine talks
BREAKING: Biden says there are more than 150
